Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
36049,0,0,0,0,0,0,22.85,0,0,0,0,0,0
36094,0,0,0,0,0,0,22.85,0,0,0,0,0,0
36215,0,0,0,0,0,0,22.85,0,0,0,0,0,0
36304,0,0,0,0,0,0,22.91,0,0,0,0,0,0
36454,0,0,0,0,0,0,22.85,0,0,0,0,0,0
36499,0,0,0,0,0,0,22.60,0,0,0,0,0,0
36619,0,0,0,0,0,0,22.85,0,0,0,0,0,0
36694,0,0,0,0,0,0,22.79,0,0,0,0,0,0
36830,0,0,0,0,0,0,22.85,0,0,0,0,0,0
36904,0,0,0,0,0,0,22.98,0,0,0,0,0,0
37024,0,0,0,0,0,0,22.79,0,0,0,0,0,0
37100,0,0,0,0,0,0,22.98,0,0,0,0,0,0
37219,0,0,0,0,0,0,22.79,0,0,0,0,0,0
37309,0,0,0,0,0,0,22.79,0,0,0,0,0,0
37429,0,0,0,0,0,0,22.91,0,0,0,0,0,0
37504,0,0,0,0,0,0,22.79,0,0,0,0,0,0
37624,0,0,0,0,0,0,22.85,0,0,0,0,0,0
37714,0,0,0,0,0,0,22.98,0,0,0,0,0,0
37834,0,0,0,0,0,0,22.72,0,0,0,0,0,0
37909,0,0,0,0,0,0,22.79,0,0,0,0,0,0
38029,0,0,0,0,0,0,22.85,0,0,0,0,0,0
38119,0,0,0,0,0,0,22.79,0,0,0,0,0,0
38224,0,0,0,0,0,0,23.23,0,0,0,0,0,0
38329,0,0,0,0,0,0,22.79,0,0,0,0,0,0
38434,0,0,0,0,0,0,22.79,0,0,0,0,0,0
38509,0,0,0,0,0,0,22.79,0,0,0,0,0,0
38629,0,0,0,0,0,0,22.85,0,0,0,0,0,0
38734,0,0,0,0,0,0,22.98,0,0,0,0,0,0
38840,0,0,0,0,0,0,22.72,0,0,0,0,0,0
38914,0,0,0,0,0,0,22.91,0,0,0,0,0,0
39034,0,0,0,0,0,0,22.79,0,0,0,0,0,0
39124,0,0,0,0,0,0,22.79,0,0,0,0,0,0
39244,0,0,0,0,0,0,22.72,0,0,0,0,0,0
39319,0,0,0,0,0,0,22.85,0,0,0,0,0,0
39454,0,0,0,0,0,0,22.98,0,0,0,0,0,0
39529,0,0,0,0,0,0,22.79,0,0,0,0,0,0
39634,0,0,0,0,0,0,22.79,0,0,0,0,0,0
39739,0,0,0,0,0,0,22.79,0,0,0,0,0,0
39859,0,0,0,0,0,0,22.85,0,0,0,0,0,0
39934,0,0,0,0,0,0,22.85,0,0,0,0,0,0
40039,0,0,0,0,0,0,22.79,0,0,0,0,0,0
40144,0,0,0,0,0,0,22.98,0,0,0,0,0,0
40249,0,0,0,0,0,0,23.17,0,0,0,0,0,0
40354,0,0,0,0,0,0,22.60,0,0,0,0,0,0
40444,0,0,0,0,0,0,22.98,0,0,0,0,0,0
40550,0,0,0,0,0,0,22.98,0,0,0,0,0,0
40654,0,0,0,0,0,0,22.85,0,0,0,0,0,0
40759,0,0,0,0,0,0,22.85,0,0,0,0,0,0
40864,0,0,0,0,0,0,22.60,0,0,0,0,0,0
40926,0,0,0,0,0,0,22.79,0,0,0,0,0,0
41059,0,0,0,0,0,0,22.79,0,0,0,0,0,0
41164,0,0,0,0,0,0,22.79,0,0,0,0,0,0
